id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,85711.0,1698842828842,1,1698846084378,79446697012,89191.0,82455.0,-2973.3887880700204,-3.35278,-58404217259.98633,-3.32362,19829618.0,19829656.0,21000000.0,108786.0,-21.42488,2025-01-20T09:11:54.494Z,67.81,125957.54449,2013-07-06T00:00:00.000Z,,2025-02-27T05:43:18.264Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2336.41,281602983274,2,281602983274,32795362729,2503.63,2265.72,-147.59895931189067,-5.94196,-17689606297.586365,-5.91047,120578289.2205246,120578289.2205246,,4878.26,-52.25365,2021-11-10T14:24:19.604Z,0.432979,537845.68843,2015-10-20T00:00:00.000Z,"{'times': 35.459710510276985, 'currency': 'btc', 'percentage': 3545.9710510276986}",2025-02-27T05:43:11.960Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.99895,142155731410,3,142155731410,79286467201,0.999377,0.998266,0.00014015,0.01403,220641510.0,0.15545,142304613957.1228,142304613957.1228,,1.32,-24.50384,2018-07-24T00:00:00.000Z,0.572521,74.47154,2015-03-02T00:00:00.000Z,,2025-02-27T05:43:07.862Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.21,128049972562,4,221173663454,6947772800,2.32,2.16,-0.08026149463392063,-3.50084,-4746042595.645569,-3.57393,57887806032.0,99986418374.0,100000000000.0,3.4,-35.19672,2018-01-07T00:00:00.000Z,0.00268621,81885.75882,2014-05-22T00:00:00.000Z,,2025-02-27T05:43:17.498Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,615.18,89510495821,5,89510495821,1524537996,629.85,593.71,-8.180172518771883,-1.31228,-1397867508.5798187,-1.53767,145887575.79,145887575.79,200000000.0,788.84,-22.22109,2024-12-04T10:35:25.220Z,0.0398177,1540807.77885,2017-10-19T00:00:00.000Z,,2025-02-27T05:43:18.521Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,138.96,69043221334,6,82465360869,5911959808,142.38,130.93,-3.4190387458504006,-2.40131,-1786269146.668579,-2.52193,498144072.2847511,594984270.6044208,,293.31,-52.62683,2025-01-19T11:15:27.957Z,0.500801,27645.77646,2020-05-11T19:35:23.449Z,,2025-02-27T05:43:06.447Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999873,55932742888,7,55948664186,14051364404,0.999987,0.99955,-3.3869631867134e-05,-0.00339,-298218578.70952606,-0.53035,55938694544.27376,55954617535.93888,,1.17,-14.73512,2019-05-08T00:40:28.300Z,0.877647,13.93042,2023-03-11T08:02:13.981Z,,2025-02-27T05:43:10.370Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.20685,30607752595,8,30640289678,2098847876,0.213542,0.196779,-0.003643416703691199,-1.73089,-541660642.9867821,-1.73891,148057346383.7052,148214736383.7052,,0.731578,-71.80094,2021-05-08T05:08:23.458Z,8.69e-05,237286.88323,2015-05-06T00:00:00.000Z,,2025-02-27T05:43:12.125Z
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.661054,23671482383,9,29637355172,872402364,0.688219,0.635077,-0.022691499524550296,-3.3187,-904776645.3698311,-3.68151,35941692539.15861,45000000000.0,45000000000.0,3.09,-78.66975,2021-09-02T06:00:10.474Z,0.01925275,3320.00988,2020-03-13T02:22:55.044Z,,2025-02-27T05:43:19.169Z
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.228217,19650648704,11,19650732886,1139147827,0.231049,0.222381,-0.000297620431068346,-0.13024,-11107139.467586517,-0.05649,86073927022.07634,86074295756.96547,,0.431288,-47.18634,2024-12-04T00:10:40.323Z,0.00180434,12523.94769,2017-11-12T00:00:00.000Z,"{'times': 119.11407144957595, 'currency': 'usd', 'percentage': 11911.407144957595}",2025-02-27T05:43:19.125Z
